,xxx
18,[C:1]([C:2]([C:3]([C:4]([H:14])([H:15])[H:16])([C:5]([O:6][C:20]([C:19]([H:26])([H:27])[H:28])([H:29])[H:30])([N:7]([H:17])[H:18])[C:21]([H:22])[C:23](=[O:24])[O:25][H:31])[H:13])([H:11])[H:12])([H:8])([H:9])[H:10]
19,[C:1]([C:2]([C:3]([C:4]([H:13])([H:14])[H:15])([C:5](=[O:6])[O:7][H:16])[C:17]([C:18]([c:19]1[c:20]([H:28])[c:21]([H:29])[c:22]([H:30])[c:23]([H:31])[c:24]1[H:32])[H:27])([H:25])[H:26])([H:11])[H:12])([H:8])([H:9])[H:10]
20,[C:1]([C:2]([O:3][C:4](=[O:5])[C:6]([H:7])([C:8]([C:9]([H:17])([H:18])[H:19])([H:15])[H:16])[N:24]([C:22]([C:21]([C:20]([H:27])([H:28])[H:29])([H:30])[H:31])([C:23]([H:33])([H:34])[H:35])[H:32])[H:36])([H:13])[H:14])([H:10])([H:11])[H:12].[C:25](=[O:26])[H:37]
21,[C:10]([O:11][C:12]([C:13]([H:21])([H:22])[H:23])=[C:14]([H:15])[H:16])([H:17])([H:18])[H:19].[O:1]([C:2](=[O:3])[C:4]([C:5]([H:8])[H:9])([H:7])[H:20])[H:6]
22,[C:1]([C:2]([O:3][C:4](=[O:5])[C:6]([C:7]([H:14])([H:15])[C:18]([C:17]([C:16]([H:24])([H:25])[H:26])([N:21]([C:22](=[O:23])[H:29])[H:28])[H:27])([H:19])[H:20])[H:13])([H:11])[H:12])([H:8])([H:9])[H:10]
23,[C:1]([C:2](=[C:3]([H:4])[C:15]([N:14]([H:19])[H:20])([O:16])[C:17](=[C:18]([H:22])[H:23])[H:21])[H:11])([H:8])([H:9])[H:10].[C:5](=[O:6])([O:7][H:13])[H:12]
24,[C:10]([C:11](=[C:12]([H:13])[C:14](=[O:15])[N:16]([H:22])[H:23])[H:20])([H:17])([H:18])[H:19].[O:1]([C:2](=[O:3])[C:4]([C:5]([H:8])([H:9])[H:21])[H:7])[H:6]
25,[C:1]([C:2](=[C:3]([H:4])[C:5]([C:6]([H:14])([H:15])[H:16])([H:12])[H:13])[H:10])([H:7])([H:8])[H:9].[H:11][C:17]([H:24])([H:25])[H:26].[O:18][C:19](=[O:20])[C:21](=[C:22]([H:27])[H:28])[C:23]([H:29])([H:30])[H:31]
26,[C:1]([C:2]([C:3]([C:4]([H:13])([H:14])[H:15])([H:12])[C:21]([H:22])([H:23])[H:24])([H:10])[H:11])([H:7])([H:8])[H:9].[C:5]([C:6]([H:18])([H:19])[H:20])([H:16])[H:17]
27,[O:1]([O:2][C:4]([C:5]([N:6]([C:7](=[O:8])[H:13])[H:12])[H:11])([H:9])[H:10])[H:3]
28,[C:1]([C:2]([C:3]([C:4]([H:14])([H:15])[H:16])([C:5]([O:6][C:21]([C:20]([C:19]([H:29])([H:30])[H:31])([H:32])[H:33])([H:22])[c:23]1[c:24]([H:34])[c:25]([H:35])[c:26]([H:36])[c:27]([H:37])[c:28]1[H:38])[N:7]([H:17])[H:18])[H:13])([H:11])[H:12])([H:8])([H:9])[H:10]
29,[C:12]([C:13]([C:14]([C:15]([H:28])([H:29])[H:30])[c:16]1[c:17]([H:31])[c:18]([H:32])[c:19]([H:33])[c:20]([H:34])[c:21]1[H:35])([H:25])[H:26])([H:22])([H:23])[H:24].[C:1](=[C:2]([C:3]([H:9])([H:10])[H:11])[C:4]#[N:5])([H:7])[H:8].[H:6][H:27]
30,[C:15]([H:24])([H:25])[H:26].[N:1]([C:2]1([C:4](=[C:5]([H:9])[H:10])[H:8])[O:3][C:13]1([C:12]([C:11]([H:16])([H:17])[H:18])([H:19])[H:20])[C:14]([H:21])([H:22])[H:23])([H:6])[H:7]
31,[C:17](=[C:18]([H:23])[H:24])[H:22].[C:1]([C:2]([C:3]([H:4])([C:5](=[O:6])[N:7]([H:13])[H:14])[O:16][C:15]([H:19])([H:20])[H:21])([H:11])[H:12])([H:8])([H:9])[H:10]
32,[C:1]([O:2][O:3][C:14]([H:24])([H:25])[H:26])([H:4])([H:5])[H:6].[C:7]([C:8]([C:9]([C:10]([H:21])([H:22])[H:23])([O:11][C:12]=[O:13])[H:20])([H:18])[H:19])([H:15])([H:16])[H:17]
33,[C:1]([C:2]([C:3]([C:4]([H:17])([H:18])[H:19])([C:5]1=[C:6]([H:20])[C:7]([H:21])[C:8]([H:22])([H:37])[C:9]([H:23])=[C:10]1[H:24])[H:16])([H:14])[H:15])([H:11])([H:12])[H:13].[C:25]([C:26](=[C:27]([H:28])[H:29])[O:30][C:31](=[O:32])[C:33]([H:38])([H:39])[H:40])([H:34])([H:35])[H:36]
34,[C:12]([C:13]([C:14](=[C:15]([H:22])[H:23])[H:21])[H:20])([H:16])([H:17])[H:18].[C:1]([C:2]([C:3]([H:9])([H:10])[H:11])([C:4]#[N:5])[H:19])([H:6])([H:7])[H:8]
35,[C:1]([C:2]([C:3]([c:5]1[c:6]([H:20])[c:7]([H:21])[c:8]([H:22])[c:9]([H:23])[c:10]1[H:24])[H:16])([H:14])[H:15])([H:11])([H:12])[H:13].[C:4]([H:17])([H:18])([H:19])[C:27]([C:26]([C:25]([H:33])([H:34])[H:35])([H:36])[H:37])([H:28])[O:29][C:30](=[O:31])[C:32]([H:38])([H:39])[H:40]
36,[C:4]([H:8])([H:9])[H:10].[O:1]([O:2][C:5]([C:6](=[C:7]([H:14])[H:15])[H:13])([H:11])[H:12])[H:3]
37,[C:1]([C:2]([C:3](=[C:4]([H:13])[H:14])[C:5](=[O:6])[O:7][H:16])([H:11])[H:12])([H:8])([H:9])[H:10].[H:15][C:22]([C:21]([O:20][C:18]([C:17]([H:23])([H:24])[H:25])=[O:19])[H:26])([H:27])[H:28]
38,[C:1]([C:2]([C:3]([H:4])([C:5](=[O:6])[O:7][H:13])[C:16]([C:15]([C:14]([H:20])([H:21])[H:22])[C:17](=[O:18])[O:19][H:25])([H:23])[H:24])([H:11])[H:12])([H:8])([H:9])[H:10]
39,[C:1]([C:2](=[C:3]([H:4])[C:5]([C:6]([H:14])([H:15])[H:16])([H:12])[H:13])[H:10])([H:7])([H:8])[H:9].[H:11][C:22]([C:21]([O:20][C:18]([C:17]([H:23])([H:24])[H:25])=[O:19])[H:26])([H:27])[H:28]
40,[C:13]([C:14]([C:15]([H:24])([H:25])[H:26])([O:16][C:17]([H:27])([H:28])[H:29])[H:23])([H:21])[H:22].[C:1]([C:2]([C:3]([H:9])([H:10])[H:11])([C:4]#[N:5])[C:12]([H:18])([H:19])[H:20])([H:6])([H:7])[H:8]
41,[C:1]([H:7])([H:8])[H:9].[C:2]([C:3]([C:4]([H:12])([H:13])[H:14])([C:5]([H:15])([H:16])[H:17])[C:6]([H:18])([H:19])[H:20])([H:10])([H:11])[C:23]([C:22]([C:21]([H:29])([H:30])[H:31])([H:32])[H:33])([H:24])[O:25][C:26](=[O:27])[C:28]([H:34])([H:35])[H:36]
42,[C:1]([C:2]([H:3])([H:4])[C:11]([H:22])([H:23])[H:24])([H:5])([H:6])[H:7].[C:8]([C:9]([C:10]([O:12][C:13](=[O:14])[C:15]([H:25])([H:26])[H:27])[H:21])([H:19])[H:20])([H:16])([H:17])[H:18]
43,[H:9][C:12]([C:11]([C:10]([H:16])([H:17])[H:18])([H:19])[H:20])([H:13])[O:14][C:15]([H:21])([H:22])[H:23].[O:1]([C:2](=[O:3])[C:4](=[C:5][H:8])[H:7])[H:6]
44,[C:1]([C:2]([O:3][C:4]1([C:6](=[C:7]([H:14])[H:15])[H:13])[O:5][C:18]1([C:17]([C:16]([H:21])([H:22])[H:23])([H:24])[H:25])[C:19]([H:26])([H:27])[H:28])([H:11])[H:12])([H:8])([H:9])[H:10].[C:20]([H:29])([H:30])[H:31]
45,[C:11]([O:12][C:13](=[O:14])[C:15]([C:16]([H:24])([H:25])[H:26])[C:17]([H:27])([H:28])[H:29])([H:21])([H:22])[H:23].[N:1]([C:2]1([C:4](=[C:5]([H:9])[H:10])[H:8])[O:3][C:18]1([H:19])[H:20])([H:6])[H:7]
46,[C:1]([C:2]([C:3](=[C:4]([H:11])[H:12])[H:10])([H:8])[H:9])([H:5])[H:7].[H:6][C:15]([C:14]([C:13]([H:19])([H:20])[H:21])([H:22])[H:23])([H:16])[O:17][C:18]([H:24])([H:25])[H:26]
47,[N:1]([C:2]([O:3])([C:4](=[C:5]([H:9])[H:10])[H:8])[C:13]([C:12]([C:11]([H:17])([H:18])[H:19])([H:20])[H:21])([H:14])[O:15][C:16]([H:22])([H:23])[H:24])([H:6])[H:7]
48,[C:15](=[C:16][c:17]1[c:18]([H:26])[c:19]([H:27])[c:20]([H:28])[c:21]([H:29])[c:22]1[H:30])([H:23])[H:24].[C:1]([C:2]([C:3]([H:4])([C:5](=[O:6])[N:7]([H:13])[H:14])[H:25])([H:11])[H:12])([H:8])([H:9])[H:10]
49,[C:1]([C:2]([H:3])([H:4])[O:14][C:13]([C:10]([C:9]([C:8]([H:17])([H:18])[H:19])([H:20])[H:21])([C:11]([H:22])([H:23])[H:24])[C:12]([H:25])([H:26])[H:27])[O:15][C:16]([H:28])([H:29])[H:30])([H:5])([H:6])[H:7]
50,[C:1]([C:2]([H:3])([H:4])[H:18])([H:5])([H:6])[H:7].[C:8]([C:9]([C:10]([C:11]([H:19])([H:20])[H:21])([C:12]([H:22])([H:23])[H:24])[C:13]([H:25])([H:26])[H:27])[H:17])([H:14])([H:15])[H:16]
51,[C:17]([O:18][C:19](=[C:20][H:26])[H:24])([H:21])([H:22])[H:23].[C:1]([C:2]([C:3]([C:4]([H:14])([H:15])[H:16])([C:5]([H:6])([H:7])[H:25])[H:13])([H:11])[H:12])([H:8])([H:9])[H:10]
52,[C:4]([O:5][C:6](=[O:7])[C:8](=[C:9][H:14])[C:10]([H:16])([H:17])[H:18])([H:11])([H:12])[H:13].[O:1]([O:2][H:15])[H:3]
53,[C:1]([O:2][C:3](=[O:4])[C:5]([C:6]([H:14])([H:15])[H:16])([C:7]([H:17])([H:18])[H:19])[C:8]([H:9])([H:10])[C:23]([C:21]([C:20]([H:26])([H:27])[H:28])=[C:22]([H:29])[H:30])([O:24])[O:25][H:31])([H:11])([H:12])[H:13]
54,[C:1]([C:2]([H:3])([H:4])[C:12]1([C:10]([C:9]([C:8]([H:18])([H:19])[H:20])([H:21])[H:22])([C:11]([H:24])([H:25])[H:26])[H:23])[C:13]([H:27])[C:14]([H:28])=[C:15]([H:29])[C:16]([H:30])=[C:17]1[H:31])([H:5])([H:6])[H:7]
55,[C:14](=[C:15]([N:16]([C:17](=[O:18])[H:23])[H:22])[H:21])[H:20].[C:1]([C:2]([C:3]([H:4])([C:5](=[O:6])[O:7][H:13])[H:19])([H:11])[H:12])([H:8])([H:9])[H:10]
56,[C:12](=[C:13]([N:14]([C:15]=[O:16])[H:20])[H:19])([H:17])[H:18].[C:1]([C:2]([C:3]([H:9])([H:10])[H:11])([C:4]#[N:5])[H:21])([H:6])([H:7])[H:8]
57,[C:10]([C:11]([C:12]([H:13])[H:14])([c:15]1[c:16]([H:25])[c:17]([H:26])[c:18]([H:27])[c:19]([H:28])[c:20]1[H:29])[H:24])([H:21])([H:22])[H:23].[O:1]([C:2](=[O:3])[C:4](=[C:5]([H:8])[H:9])[H:7])[H:6]
58,[C:14](=[C:15]([N:16]([C:17]=[O:18])[H:22])[H:21])([H:19])[H:20].[C:1]([C:2]([C:3]([H:4])([H:5])[H:23])([C:6](=[O:7])[O:8][H:13])[H:12])([H:9])([H:10])[H:11]
59,[C:1]([H:5])([H:6])([H:7])[C:17]([C:15]([O:14][C:13]([H:20])([H:21])[H:22])([C:16]([H:24])([H:25])[H:26])[H:23])([H:18])[H:19].[C:2]([C:3](=[C:4]([H:11])[H:12])[H:10])([H:8])[H:9]
60,[C:1]([C:2]([O:3][C:4](=[O:5])[C:6]([H:7])([C:8]([C:9]([H:17])([H:18])[H:19])([H:15])[H:16])[H:26])([H:13])[H:14])([H:10])([H:11])[H:12].[C:20]([C:21](=[C:22]([H:29])[H:30])[C:23](=[O:24])[O:25][H:31])([H:27])[H:28]
61,[C:16](=[C:17]([H:24])[H:25])[C:18](=[O:19])[O:20][H:26].[C:1]([C:2](=[C:3]([H:4])[H:5])[C:6](=[O:7])[N:8]([H:13])[H:14])([H:9])([H:10])[H:11].[H:12][C:15]([H:21])([H:22])[H:23]
62,[C:1]([C:2]([C:3]([H:8])[H:9])([C:4]([H:10])([H:11])[H:12])[C:16]([C:14]([C:13]([H:22])([H:23])[H:24])([C:15]([H:25])([H:26])[H:27])[C:19](=[O:20])[O:21][H:28])([H:17])[H:18])([H:5])([H:6])[H:7]
63,[C:16]([C:17]([C:18](=[C:19]([H:28])[H:29])[C:20](=[O:21])[O:22][H:31])([H:26])[H:27])([H:23])([H:24])[H:25].[C:1]([H:8])([H:9])([H:10])[H:30].[C:2]([O:3][C:4](=[O:5])[C:6](=[C:7]([H:14])[H:15])[H:13])([H:11])[H:12]
64,[C:4]([C:5]([C:6]([H:16])([H:17])[H:18])([N:7]([C:8](=[O:9])[H:20])[H:19])[H:15])([H:13])[H:14].[O:1]([H:2])[C:3]([H:10])([H:11])[H:12]
65,[C:1]([C:2]([O:3][C:4](=[O:5])[C:6]([H:7])=[C:8]([C:9]([H:17])([H:18])[H:19])[H:16])([H:13])[H:14])([H:10])([H:11])[H:12].[H:15][O:26][C:25]([N:24]([C:22]([C:21]([C:20]([H:27])([H:28])[H:29])([H:30])[H:31])([C:23]([H:33])([H:34])[H:35])[H:32])[H:36])[H:37]
66,[C:1]([C:2]([O:3][C:4](=[O:5])[C:6](=[C:7]([H:14])[H:15])[H:13])[H:12])([H:8])([H:9])[H:10].[H:11][C:16]([H:17])([H:18])[H:19]
67,[C:15]([C:16]([C:17]([C:18]([H:28])([H:29])[H:30])([N:19]([C:20](=[O:21])[H:32])[H:31])[H:27])([H:25])[H:26])([H:22])[H:23].[C:1]([O:2][C:3]([C:4]([H:12])([H:13])[H:14])([C:5]([H:6])([H:7])[H:24])[H:11])([H:8])([H:9])[H:10]
68,[C:4]([C:5]([C:6]([c:8]1[c:9]([H:23])[c:10]([H:24])[c:11]([H:25])[c:12]([H:26])[c:13]1[H:27])[H:19])([H:17])[H:18])([H:14])([H:15])[H:16].[O:1]([O:2][C:7]([H:20])([H:21])[H:22])[H:3]
69,[C:16]([C:17](=[C:18]([H:19])[C:20]([C:21]([H:29])([H:30])[H:31])([H:27])[H:28])[H:25])([H:22])([H:23])[H:24].[C:1]([C:2]([H:12])[H:26])([H:8])([H:9])[H:10].[O:3]([C:4](=[O:5])[C:6](=[C:7]([H:14])[H:15])[H:13])[H:11]
70,[C:10]([C:11]([C:12]([H:13])=[N:14][C:15](=[O:16])[H:23])([H:20])[H:21])([H:17])([H:18])[H:19].[O:1]([C:2]([O:3])([C:4](=[C:5]([H:8])[H:9])[H:7])[H:22])[H:6]
71,[C:1]([O:2][C:3]([C:4]([H:12])([H:13])[H:14])([C:5]([H:6])([H:7])[C:18]([N:17]([C:16](=[C:15]([H:20])[H:21])[H:22])[H:23])([O:19])[H:24])[H:11])([H:8])([H:9])[H:10]
72,[H:6][C:14]#[N:15].[N:1]([C:2](=[O:3])[C:4](=[C:5]([H:9])[H:10])[H:8])([H:7])[C:12]([C:11]([H:16])([H:17])[H:18])[C:13]([H:19])([H:20])[H:21]
73,[C:1]([C:2]([C:3]([H:4])([C:5](=[O:6])[N:7]([H:13])[H:14])[C:20]1([H:34])[C:19]([C:17]([C:16]([C:15]([H:25])([H:26])[H:27])([H:28])[H:29])([C:18]([H:31])([H:32])[H:33])[H:30])[C:24]([H:38])=[C:23]([H:37])[C:22]([H:36])=[C:21]1[H:35])([H:11])[H:12])([H:8])([H:9])[H:10]
74,[C:17]([H:24])([H:25])[H:26].[C:1]([C:2]([C:3]([C:4]([H:14])([H:15])[H:16])([C:5]([H:6])([H:7])[C:18]([C:19]([C:20]([H:30])([H:31])[H:32])([N:21]([C:22](=[O:23])[H:34])[H:33])[H:29])([H:27])[H:28])[H:13])([H:11])[H:12])([H:8])([H:9])[H:10]
75,[C:1]([C:2]([C:3]([C:5]([H:18])([H:19])[H:20])[C:6](=[O:7])[O:8][C:9]([H:21])([H:22])[H:23])([H:13])[H:14])([H:10])([H:11])[H:12].[C:24]([C:25](=[C:26]([H:27])[N:28]([C:29](=[O:30])[H:37])[H:36])[H:35])([H:31])([H:32])[H:33].[C:4]([H:15])([H:16])([H:17])[H:34]
76,[C:1]([C:2]([O:3][C:4](=[O:5])[C:18]([C:17]([C:16]([H:23])([H:24])[H:25])([H:26])[H:27])([C:19]([H:28])([H:29])[H:30])[C:20](=[O:21])[O:22][H:31])([H:11])[H:12])([H:8])([H:9])[H:10].[C:6](=[C:7]([H:14])[H:15])[H:13]
77,[C:17]([O:18][C:19](=[C:20]([H:25])[H:26])[H:24])([H:22])[H:23].[C:1]([C:2]([C:3]([C:4]([H:14])([H:15])[H:16])([C:5]([H:6])([H:7])[H:21])[H:13])([H:11])[H:12])([H:8])([H:9])[H:10]
78,[C:1]([C:2]([C:3]([C:4]([H:14])([H:15])[H:16])[C:5](=[O:6])[O:7][H:17])([H:11])[H:12])([H:8])([H:9])[H:10].[H:13][O:20][O:19][C:18]([H:21])([H:22])[H:23]
79,[C:1]([C:2]([C:3]([C:4]([H:14])([H:15])[H:16])([C:5](=[O:6])[O:7][C:8]([H:17])([H:18])[H:19])[C:25]1([H:39])[C:24]([C:22]([C:21]([C:20]([H:30])([H:31])[H:32])([H:33])[H:34])([C:23]([H:36])([H:37])[H:38])[H:35])[C:29]([H:43])=[C:28]([H:42])[C:27]([H:41])=[C:26]1[H:40])([H:12])[H:13])([H:9])([H:10])[H:11]
80,[C:15]([H:22])([H:23])[H:24].[C:1]([C:2](=[C:3]([H:4])[H:5])[C:6](=[O:7])[N:8]([H:13])[H:14])([H:9])([H:10])[H:11].[H:12][C:16]([C:17]([C:18]([H:28])([H:29])[H:30])([N:19]([C:20](=[O:21])[H:32])[H:31])[H:27])([H:25])[H:26]
81,[O:1]([C:2]([O:3][H:24])([C:4](=[C:5]([H:8])[H:9])[H:7])[C:12]([C:11]([C:10]([H:17])([H:18])[H:19])([H:20])[H:21])([C:13]([H:22])[H:23])[C:14](=[O:15])[O:16][H:25])[H:6]
82,[C:17]([C:18](=[C:19]([H:26])[H:27])[C:20](=[O:21])[O:22][H:28])([H:23])([H:24])[H:25].[C:1]([C:2]([C:3]([C:4]([H:11])([H:12])[H:13])[C:5]([H:14])([H:15])[H:16])([H:9])[H:10])([H:6])([H:7])[H:8]
83,[C:1]([C:2]([C:3]([C:4]([H:14])([H:15])[H:16])([C:5]([H:6])([H:7])[C:19]([C:18]([C:17]([H:27])([H:28])[H:29])([H:30])[H:31])([c:21]1[c:22]([H:36])[c:23]([H:37])[c:24]([H:38])[c:25]([H:39])[c:26]1[H:40])[H:32])[H:13])([H:11])[H:12])([H:8])([H:9])[H:10].[C:20]([H:33])([H:34])[H:35]
84,[C:10]([O:11][O:12])([H:13])([H:14])[H:15].[O:1]([C:2](=[O:3])[C:4](=[C:5]([H:8])[H:9])[H:7])[H:6]
85,[C:15]([H:25])([H:26])[H:27].[C:1]([C:2]([C:3]([H:4])([O:5][C:6]([H:12])([H:13])[H:14])[C:16]([C:17]([C:18]([H:31])([H:32])[H:33])([c:19]1[c:20]([H:34])[c:21]([H:35])[c:22]([H:36])[c:23]([H:37])[c:24]1[H:38])[H:30])([H:28])[H:29])([H:10])[H:11])([H:7])([H:8])[H:9]
86,[C:1]([C:2](=[O:3])[O:4][C:5]([C:6]([H:11])[H:12])([H:10])[C:15]([C:14]([C:13]([H:20])([H:21])[H:22])([H:23])[H:24])([H:16])[N:17]([C:18](=[O:19])[H:26])[H:25])([H:7])([H:8])[H:9]
87,[C:1]([C:2]([C:3]([C:4]([H:11])([H:12])[H:13])([C:5]([H:14])([H:15])[H:16])[C:20]([C:19]([O:18][C:17]([H:21])([H:22])[H:23])[H:24])([H:25])[H:26])([H:9])[H:10])([H:6])([H:7])[H:8]
88,[C:15](=[C:16]([c:17]1[c:18]([H:26])[c:19]([H:27])[c:20]([H:28])[c:21]([H:29])[c:22]1[H:30])[H:25])[H:24].[C:1]([C:2]([C:3]([H:4])([H:5])[H:23])([C:6](=[O:7])[N:8]([H:13])[H:14])[H:12])([H:9])([H:10])[H:11]
89,[C:1]([C:2]([O:3][C:4](=[O:5])[C:6]([C:7]([H:17])([H:18])[H:19])([C:8]([H:9])([H:10])[H:31])[H:16])([H:14])[H:15])([H:11])([H:12])[H:13].[C:20]([O:21][C:22](=[O:23])[C:24](=[C:25][H:30])[C:26]([H:32])([H:33])[H:34])([H:27])([H:28])[H:29]
90,[C:15]([C:16]([C:17]([C:18]([H:28])([H:29])[H:30])([N:19]([C:20](=[O:21])[H:32])[H:31])[H:27])([H:25])[H:26])([H:22])[H:23].[C:1]([C:2]([C:3]([H:4])([O:5][C:6]([H:12])([H:13])[H:14])[H:24])([H:10])[H:11])([H:7])([H:8])[H:9]
91,[C:1]([C:2]([C:3]([H:4])([H:5])[N:19]([C:17]([C:16]([C:15]([H:22])([H:23])[H:24])([H:25])[H:26])([C:18]([H:28])([H:29])[H:30])[H:27])[H:31])([C:6](=[O:7])[N:8]([H:13])[H:14])[H:12])([H:9])([H:10])[H:11].[C:20](=[O:21])[H:32]
92,[C:1](=[C:2]([C:3]1=[C:4]([H:12])[C:5]([H:13])([C:19]([C:18]([C:17]([H:26])([H:27])[H:28])([O:22][C:23](=[O:24])[C:25]([H:30])([H:31])[H:32])[H:29])([H:20])[H:21])[C:6]([H:14])[C:7]([H:15])=[C:8]1[H:16])[H:11])([H:9])[H:10]
93,[C:1]([C:2]([O:3][C:4](=[O:5])[C:6](=[C:7]([H:14])[H:15])[H:13])([H:11])[H:12])([H:9])[H:10].[H:8][O:18][O:17][C:16]([H:19])([H:20])[H:21]
94,[C:1]([C:2]([C:3]([C:4]([H:11])([H:12])[H:13])([C:5]([H:14])([H:15])[H:16])[O:21][C:20]([N:19]([C:18](=[C:17]([H:22])[H:23])[H:24])[H:25])[H:26])([H:9])[H:10])([H:6])([H:7])[H:8]
95,[C:13]([C:14](=[C:15]([H:16])[c:17]1[c:18]([H:28])[c:19]([H:29])[c:20]([H:30])[c:21]([H:31])[c:22]1[H:32])[H:26])([H:23])([H:24])[H:25].[C:1]([C:2]([C:3]([H:10])([H:11])[H:27])[C:4](=[O:5])[O:6][H:12])([H:7])([H:8])[H:9]
