rxn_smiles,ea
[C:1]([C:2]([C:3]([H:12])([H:13])[H:14])([C:4]([H:15])([H:16])[H:17])[c:5]1[o:8][n+:7]([H:19])[c:6]([H:18])[c:30]1[H:31])([H:9])([H:10])[H:11].[c:20]1([H:25])[c:21]([H:26])[n:22][c:23]([H:27])[c:24]([H:28])[c:29]1>>[C:1]([C:2]([C:3]([H:12])([H:13])[H:14])([C:4]([H:15])([H:16])[H:17])[c:5]1[o:8][n+:7]([H:19])[c:6]([H:18])[c:30]1-[c:29]1[c:20]([H:25])[c:21]([H:26])[n:22][c:23]([H:27])[c:24]1[H:28])([H:9])([H:10])[H:11].[H:31],13.3
[C:1]([C:2]([C:3]([H:13])([H:14])[H:15])([C:4]([H:16])([H:17])[H:18])[c:5]1[c:6]([H:19])[c:27]([H:28])[c:7]([H:20])[c:8]([H:21])[n+:9]1[H:22])([H:10])([H:11])[H:12].[F:23][C:26]([F:24])[F:25]>>[C:1]([C:2]([C:3]([H:13])([H:14])[H:15])([C:4]([H:16])([H:17])[H:18])[c:5]1[c:6]([H:19])[c:27]([C:26]([F:23])([F:24])[F:25])[c:7]([H:20])[c:8]([H:21])[n+:9]1[H:22])([H:10])([H:11])[H:12].[H:28],11.8
[C:1]([C:2]([C:3]([H:12])([H:13])[H:14])([C:4]([H:15])([H:16])[H:17])[c:5]1[c:8]([H:19])[o:7][n+:6]([H:18])[c:30]1[H:31])([H:9])([H:10])[H:11].[C:20]([H:22])([H:23])([H:24])[C:29]([C:21]([H:26])([H:27])[H:28])[H:25]>>[C:1]([C:2]([C:3]([H:12])([H:13])[H:14])([C:4]([H:15])([H:16])[H:17])[c:5]1[c:8]([H:19])[o:7][n+:6]([H:18])[c:30]1[C:29]([C:20]([H:22])([H:23])[H:24])([C:21]([H:26])([H:27])[H:28])[H:25])([H:9])([H:10])[H:11].[H:31],10.7
[F:1][C:2]([F:3])([F:4])[c:5]1[c:8]([H:9])[o:7][n:6][c:20]1[H:21].[c:10]1([H:15])[c:11]([H:16])[n:12][c:13]([H:17])[c:14]([H:18])[c:19]1>>[F:1][C:2]([F:3])([F:4])[c:5]1[c:8]([H:9])[o:7][n:6][c:20]1-[c:19]1[c:10]([H:15])[c:11]([H:16])[n:12][c:13]([H:17])[c:14]1[H:18].[H:21],14.7
[C:1]([C:2]([C:3]([H:13])([H:14])[H:15])([C:4]([H:16])([H:17])[H:18])[c:5]1[c:6]([H:19])[c:33]([H:34])[c:7]([H:20])[n:8][c:9]1[H:21])([H:10])([H:11])[H:12].[c:22]1([H:27])[c:23]([H:28])[c:24]([H:29])[c:25]([H:30])[c:26]([H:31])[c:32]1>>[C:1]([C:2]([C:3]([H:13])([H:14])[H:15])([C:4]([H:16])([H:17])[H:18])[c:5]1[c:6]([H:19])[c:33](-[c:32]2[c:22]([H:27])[c:23]([H:28])[c:24]([H:29])[c:25]([H:30])[c:26]2[H:31])[c:7]([H:20])[n:8][c:9]1[H:21])([H:10])([H:11])[H:12].[H:34],13.9
[C:1]([C:2]([C:3]([H:12])([H:13])[H:14])([C:4]([H:15])([H:16])[H:17])[c:5]1[o:8][n+:7]([H:19])[c:6]([H:18])[c:24]1[H:25])([H:9])([H:10])[H:11].[F:20][C:23]([F:21])[H:22]>>[C:1]([C:2]([C:3]([H:12])([H:13])[H:14])([C:4]([H:15])([H:16])[H:17])[c:5]1[o:8][n+:7]([H:19])[c:6]([H:18])[c:24]1[C:23]([F:20])([F:21])[H:22])([H:9])([H:10])[H:11].[H:25],12.1
[C:1]([C:2]([C:3]([H:12])([H:13])[H:14])([C:4]([H:15])([H:16])[H:17])[c:5]1[c:6]([H:18])[c:31]([H:32])[s:7][c:8]1[H:19])([H:9])([H:10])[H:11].[C:20]([H:24])([H:25])([H:26])[C:30]([C:21]([H:27])([H:28])[H:29])[C:22]#[N:23]>>[C:1]([C:2]([C:3]([H:12])([H:13])[H:14])([C:4]([H:15])([H:16])[H:17])[c:5]1[c:6]([H:18])[c:31]([C:30]([C:20]([H:24])([H:25])[H:26])([C:21]([H:27])([H:28])[H:29])[C:22]#[N:23])[s:7][c:8]1[H:19])([H:9])([H:10])[H:11].[H:32],20.7
[C:14]([H:18])([H:19])([H:20])[C:24]([C:15]([H:21])([H:22])[H:23])[C:16]#[N:17].[C:1]([O:2][c:3]1[c:7]([H:13])[c:6]([H:12])[n:5][c:4]([H:11])[c:25]1[H:26])([H:8])([H:9])[H:10]>>[C:1]([O:2][c:3]1[c:7]([H:13])[c:6]([H:12])[n:5][c:4]([H:11])[c:25]1[C:24]([C:14]([H:18])([H:19])[H:20])([C:15]([H:21])([H:22])[H:23])[C:16]#[N:17])([H:8])([H:9])[H:10].[H:26],11.9
[C:10]([H:14])([H:15])([H:16])[C:20]([C:11]([H:17])([H:18])[H:19])[C:12]#[N:13].[F:1][C:2]([F:3])([F:4])[c:5]1[c:6]([H:9])[n:7][c:21]([H:22])[s:8]1>>[F:1][C:2]([F:3])([F:4])[c:5]1[c:6]([H:9])[n:7][c:21]([C:20]([C:10]([H:14])([H:15])[H:16])([C:11]([H:17])([H:18])[H:19])[C:12]#[N:13])[s:8]1.[H:22],20.5
[C:13]([H:16])([H:17])([H:18])[C:19]([H:14])[H:15].[C:1]([O:2][c:3]1[n:6]([H:12])[c:5]([H:11])[c:4]([H:10])[c:20]1[H:21])([H:7])([H:8])[H:9]>>[C:1]([O:2][c:3]1[n:6]([H:12])[c:5]([H:11])[c:4]([H:10])[c:20]1[C:19]([C:13]([H:16])([H:17])[H:18])([H:14])[H:15])([H:7])([H:8])[H:9].[H:21],15.9
[C:12]([H:15])([H:16])([H:17])[C:18]([H:13])[H:14].[C:1]([O:2][c:3]1[n:6]([H:11])[c:5]([H:10])[n:4][c:19]1[H:20])([H:7])([H:8])[H:9]>>[C:1]([O:2][c:3]1[n:6]([H:11])[c:5]([H:10])[n:4][c:19]1[C:18]([C:12]([H:15])([H:16])[H:17])([H:13])[H:14])([H:7])([H:8])[H:9].[H:20],22.5
[C:11]([F:12])([F:13])([F:14])[C:17]([H:15])[H:16].[F:1][C:2]([F:3])([F:4])[c:5]1[n+:8]([H:10])[c:7]([H:9])[o:6][c:18]1[H:19]>>[F:1][C:2]([F:3])([F:4])[c:5]1[n+:8]([H:10])[c:7]([H:9])[o:6][c:18]1[C:17]([C:11]([F:12])([F:13])[F:14])([H:15])[H:16].[H:19],17.4
[C:13]([C:14]([F:15])([F:16])[F:17])([H:20])([H:21])[C:22]([H:18])[H:19].[C:1]([O:2][c:3]1[c:4]([H:10])[c:23]([H:24])[n:5]([H:11])[n+:6]1[H:12])([H:7])([H:8])[H:9]>>[C:1]([O:2][c:3]1[c:4]([H:10])[c:23]([C:22]([C:13]([C:14]([F:15])([F:16])[F:17])([H:20])[H:21])([H:18])[H:19])[n:5]([H:11])[n+:6]1[H:12])([H:7])([H:8])[H:9].[H:24],24.8
[C:12]([H:15])([H:16])([H:17])[C:18]([F:13])[F:14].[C:1]([O:2][c:3]1[o:6][c:5]([H:11])[n+:4]([H:10])[c:19]1[H:20])([H:7])([H:8])[H:9]>>[C:1]([O:2][c:3]1[o:6][c:5]([H:11])[n+:4]([H:10])[c:19]1[C:18]([C:12]([H:15])([H:16])[H:17])([F:13])[F:14])([H:7])([H:8])[H:9].[H:20],17.6
[C:1]([O:2][c:3]1[n:6]([H:11])[n:5][c:4]([H:10])[c:16]1[H:17])([H:7])([H:8])[H:9].[F:12][C:15]([H:13])[H:14]>>[C:1]([O:2][c:3]1[n:6]([H:11])[n:5][c:4]([H:10])[c:16]1[C:15]([F:12])([H:13])[H:14])([H:7])([H:8])[H:9].[H:17],19.2
[F:1][C:2]([F:3])([F:4])[c:5]1[c:6]([H:9])[c:15]([H:16])[n:7]([H:10])[n:8]1.[H:11][C:14]([H:12])[H:13]>>[F:1][C:2]([F:3])([F:4])[c:5]1[c:6]([H:9])[c:15]([C:14]([H:11])([H:12])[H:13])[n:7]([H:10])[n:8]1.[H:16],17.7
[C:13]([C:14]([F:15])([F:16])[F:17])([H:20])([H:21])[C:22]([H:18])[H:19].[C:1]([O:2][c:3]1[c:4]([H:10])[c:23]([H:24])[n:5]([H:11])[n+:6]1[H:12])([H:7])([H:8])[H:9]>>[C:1]([O:2][c:3]1[c:4]([H:10])[c:23]([C:22]([C:13]([C:14]([F:15])([F:16])[F:17])([H:20])[H:21])([H:18])[H:19])[n:5]([H:11])[n+:6]1[H:12])([H:7])([H:8])[H:9].[H:24],14.7
[C:13]([H:16])([H:17])([H:18])[C:25]([C:14]([H:19])([H:20])[H:21])[C:15]([H:22])([H:23])[H:24].[C:1]([O:2][c:3]1[c:4]([H:10])[c:26]([H:27])[n:5]([H:11])[n+:6]1[H:12])([H:7])([H:8])[H:9]>>[C:1]([O:2][c:3]1[c:4]([H:10])[c:26]([C:25]([C:13]([H:16])([H:17])[H:18])([C:14]([H:19])([H:20])[H:21])[C:15]([H:22])([H:23])[H:24])[n:5]([H:11])[n+:6]1[H:12])([H:7])([H:8])[H:9].[H:27],16.8
[C:19]([H:23])([H:24])([H:25])[C:29]([C:20]([H:26])([H:27])[H:28])[C:21]#[N:22].[C:1]([C:2]([C:3]([H:12])([H:13])[H:14])([C:4]([H:15])([H:16])[H:17])[c:5]1[n:6][c:7]([H:18])[c:30]([H:31])[o:8]1)([H:9])([H:10])[H:11]>>[C:1]([C:2]([C:3]([H:12])([H:13])[H:14])([C:4]([H:15])([H:16])[H:17])[c:5]1[n:6][c:7]([H:18])[c:30]([C:29]([C:19]([H:23])([H:24])[H:25])([C:20]([H:26])([H:27])[H:28])[C:21]#[N:22])[o:8]1)([H:9])([H:10])[H:11].[H:31],19.3
[C:11]([H:14])([H:15])([H:16])[C:23]([C:12]([H:17])([H:18])[H:19])[C:13]([H:20])([H:21])[H:22].[C:1]([O:2][c:3]1[c:4]([H:10])[n:5][c:24]([H:25])[s:6]1)([H:7])([H:8])[H:9]>>[C:1]([O:2][c:3]1[c:4]([H:10])[n:5][c:24]([C:23]([C:11]([H:14])([H:15])[H:16])([C:12]([H:17])([H:18])[H:19])[C:13]([H:20])([H:21])[H:22])[s:6]1)([H:7])([H:8])[H:9].[H:25],14.1
[C:14]([H:17])([H:18])([H:19])[C:26]([C:15]([H:20])([H:21])[H:22])[C:16]([H:23])([H:24])[H:25].[C:1]([O:2][c:3]1[c:4]([H:11])[n:5][c:6]([H:12])[c:27]([H:28])[n+:7]1[H:13])([H:8])([H:9])[H:10]>>[C:1]([O:2][c:3]1[c:4]([H:11])[n:5][c:6]([H:12])[c:27]([C:26]([C:14]([H:17])([H:18])[H:19])([C:15]([H:20])([H:21])[H:22])[C:16]([H:23])([H:24])[H:25])[n+:7]1[H:13])([H:8])([H:9])[H:10].[H:28],19.3
[C:1]([C:2]([C:3]([H:12])([H:13])[H:14])([C:4]([H:15])([H:16])[H:17])[c:5]1[o:8][n+:7]([H:19])[c:6]([H:18])[c:30]1[H:31])([H:9])([H:10])[H:11].[C:20]([C:21]([F:22])([F:23])[F:24])([H:27])([H:28])[C:29]([H:25])[H:26]>>[C:1]([C:2]([C:3]([H:12])([H:13])[H:14])([C:4]([H:15])([H:16])[H:17])[c:5]1[o:8][n+:7]([H:19])[c:6]([H:18])[c:30]1[C:29]([C:20]([C:21]([F:22])([F:23])[F:24])([H:27])[H:28])([H:25])[H:26])([H:9])([H:10])[H:11].[H:31],21.0
[C:14]([H:17])([H:18])([H:19])[C:26]([C:15]([H:20])([H:21])[H:22])[C:16]([H:23])([H:24])[H:25].[C:1]([O:2][c:3]1[c:4]([H:11])[n:5][c:6]([H:12])[c:27]([H:28])[n+:7]1[H:13])([H:8])([H:9])[H:10]>>[C:1]([O:2][c:3]1[c:4]([H:11])[n:5][c:6]([H:12])[c:27]([C:26]([C:14]([H:17])([H:18])[H:19])([C:15]([H:20])([H:21])[H:22])[C:16]([H:23])([H:24])[H:25])[n+:7]1[H:13])([H:8])([H:9])[H:10].[H:28],17.4
[C:1]([O:2][c:3]1[c:4]([H:11])[c:5]([H:12])[c:19]([H:20])[n+:6]([H:13])[c:7]1[H:14])([H:8])([H:9])[H:10].[H:15][C:18]([H:16])[H:17]>>[C:1]([O:2][c:3]1[c:4]([H:11])[c:5]([H:12])[c:19]([C:18]([H:15])([H:16])[H:17])[n+:6]([H:13])[c:7]1[H:14])([H:8])([H:9])[H:10].[H:20],9.8
[C:1]([C:2]([C:3]([H:12])([H:13])[H:14])([C:4]([H:15])([H:16])[H:17])[c:5]1[c:6]([H:18])[c:7]([H:19])[o:8][c:24]1[H:25])([H:9])([H:10])[H:11].[F:20][C:23]([F:21])[H:22]>>[C:1]([C:2]([C:3]([H:12])([H:13])[H:14])([C:4]([H:15])([H:16])[H:17])[c:5]1[c:6]([H:18])[c:7]([H:19])[o:8][c:24]1[C:23]([F:20])([F:21])[H:22])([H:9])([H:10])[H:11].[H:25],10.9
[C:11]([H:13])([H:14])([H:15])[C:20]([C:12]([H:17])([H:18])[H:19])[H:16].[F:1][C:2]([F:3])([F:4])[c:5]1[n+:8]([H:10])[s:7][c:6]([H:9])[c:21]1[H:22]>>[F:1][C:2]([F:3])([F:4])[c:5]1[n+:8]([H:10])[s:7][c:6]([H:9])[c:21]1[C:20]([C:11]([H:13])([H:14])[H:15])([C:12]([H:17])([H:18])[H:19])[H:16].[H:22],18.5
[C:11]([H:13])([H:14])([H:15])[C:20]([C:12]([H:17])([H:18])[H:19])[H:16].[C:1]([O:2][c:3]1[s:6][n:5][c:4]([H:10])[c:21]1[H:22])([H:7])([H:8])[H:9]>>[C:1]([O:2][c:3]1[s:6][n:5][c:4]([H:10])[c:21]1[C:20]([C:11]([H:13])([H:14])[H:15])([C:12]([H:17])([H:18])[H:19])[H:16])([H:7])([H:8])[H:9].[H:22],22.3
[F:13][C:16]([H:14])[H:15].[F:1][C:2]([F:3])([F:4])[c:5]1[c:6]([H:10])[c:7]([H:11])[n:8][c:17]([H:18])[c:9]1[H:12]>>[F:1][C:2]([F:3])([F:4])[c:5]1[c:6]([H:10])[c:7]([H:11])[n:8][c:17]([C:16]([F:13])([H:14])[H:15])[c:9]1[H:12].[H:18],15.8
[C:11]([H:13])([H:14])([H:15])[C:20]([C:12]([H:17])([H:18])[H:19])[H:16].[C:1]([O:2][c:3]1[c:4]([H:10])[c:21]([H:22])[n:5][o:6]1)([H:7])([H:8])[H:9]>>[C:1]([O:2][c:3]1[c:4]([H:10])[c:21]([C:20]([C:11]([H:13])([H:14])[H:15])([C:12]([H:17])([H:18])[H:19])[H:16])[n:5][o:6]1)([H:7])([H:8])[H:9].[H:22],19.6
[C:1]([O:2][c:3]1[n:7][c:6]([H:12])[c:5]([H:11])[n:4][c:23]1[H:24])([H:8])([H:9])[H:10].[c:13]1([H:18])[c:14]([H:19])[n:15][c:16]([H:20])[c:17]([H:21])[c:22]1>>[C:1]([O:2][c:3]1[n:7][c:6]([H:12])[c:5]([H:11])[n:4][c:23]1-[c:22]1[c:13]([H:18])[c:14]([H:19])[n:15][c:16]([H:20])[c:17]1[H:21])([H:8])([H:9])[H:10].[H:24],10.1
[C:1]([C:2]([C:3]([H:13])([H:14])[H:15])([C:4]([H:16])([H:17])[H:18])[c:5]1[c:6]([H:19])[n:7][c:8]([H:20])[c:28]([H:29])[n:9]1)([H:10])([H:11])[H:12].[C:21]([F:22])([F:23])([F:24])[C:27]([H:25])[H:26]>>[C:1]([C:2]([C:3]([H:13])([H:14])[H:15])([C:4]([H:16])([H:17])[H:18])[c:5]1[c:6]([H:19])[n:7][c:8]([H:20])[c:28]([C:27]([C:21]([F:22])([F:23])[F:24])([H:25])[H:26])[n:9]1)([H:10])([H:11])[H:12].[H:29],17.1
[C:13]([C:14]([F:15])([F:16])[F:17])([H:20])([H:21])[C:22]([H:18])[H:19].[C:1]([O:2][c:3]1[c:4]([H:10])[c:23]([H:24])[n:5]([H:11])[n+:6]1[H:12])([H:7])([H:8])[H:9]>>[C:1]([O:2][c:3]1[c:4]([H:10])[c:23]([C:22]([C:13]([C:14]([F:15])([F:16])[F:17])([H:20])[H:21])([H:18])[H:19])[n:5]([H:11])[n+:6]1[H:12])([H:7])([H:8])[H:9].[H:24],22.4
[C:14]([H:16])([H:17])([H:18])[C:23]([C:15]([H:20])([H:21])[H:22])[H:19].[C:1]([O:2][c:3]1[c:4]([H:11])[c:24]([H:25])[c:5]([H:12])[c:6]([H:13])[n:7]1)([H:8])([H:9])[H:10]>>[C:1]([O:2][c:3]1[c:4]([H:11])[c:24]([C:23]([C:14]([H:16])([H:17])[H:18])([C:15]([H:20])([H:21])[H:22])[H:19])[c:5]([H:12])[c:6]([H:13])[n:7]1)([H:8])([H:9])[H:10].[H:25],22.7
[C:13]([H:16])([H:17])([H:18])[C:25]([C:14]([H:19])([H:20])[H:21])[C:15]([H:22])([H:23])[H:24].[C:1]([O:2][c:3]1[c:4]([H:10])[c:26]([H:27])[n:5]([H:11])[n+:6]1[H:12])([H:7])([H:8])[H:9]>>[C:1]([O:2][c:3]1[c:4]([H:10])[c:26]([C:25]([C:13]([H:16])([H:17])[H:18])([C:14]([H:19])([H:20])[H:21])[C:15]([H:22])([H:23])[H:24])[n:5]([H:11])[n+:6]1[H:12])([H:7])([H:8])[H:9].[H:27],16.5
[C:14]([H:17])([H:18])([H:19])[C:26]([C:15]([H:20])([H:21])[H:22])[C:16]([H:23])([H:24])[H:25].[C:1]([O:2][c:3]1[c:4]([H:11])[n:5][c:6]([H:12])[c:27]([H:28])[n+:7]1[H:13])([H:8])([H:9])[H:10]>>[C:1]([O:2][c:3]1[c:4]([H:11])[n:5][c:6]([H:12])[c:27]([C:26]([C:14]([H:17])([H:18])[H:19])([C:15]([H:20])([H:21])[H:22])[C:16]([H:23])([H:24])[H:25])[n+:7]1[H:13])([H:8])([H:9])[H:10].[H:28],21.0
[C:1]([O:2][c:3]1[c:4]([H:10])[c:17]([H:18])[n:5]([H:11])[n+:6]1[H:12])([H:7])([H:8])[H:9].[F:13][C:16]([H:14])[H:15]>>[C:1]([O:2][c:3]1[c:4]([H:10])[c:17]([C:16]([F:13])([H:14])[H:15])[n:5]([H:11])[n+:6]1[H:12])([H:7])([H:8])[H:9].[H:18],14.2
[C:1]([O:2][c:3]1[s:6][n+:5]([H:11])[c:4]([H:10])[c:16]1[H:17])([H:7])([H:8])[H:9].[H:12][C:15]([H:13])[H:14]>>[C:1]([O:2][c:3]1[s:6][n+:5]([H:11])[c:4]([H:10])[c:16]1[C:15]([H:12])([H:13])[H:14])([H:7])([H:8])[H:9].[H:17],17.3
[C:12]([H:15])([H:16])([H:17])[C:18]([F:13])[F:14].[C:1]([O:2][c:3]1[c:4]([H:10])[n:5][n:6]([H:11])[c:19]1[H:20])([H:7])([H:8])[H:9]>>[C:1]([O:2][c:3]1[c:4]([H:10])[n:5][n:6]([H:11])[c:19]1[C:18]([C:12]([H:15])([H:16])[H:17])([F:13])[F:14])([H:7])([H:8])[H:9].[H:20],14.5
[F:1][C:2]([F:3])([F:4])[c:5]1[n:8][c:7]([H:9])[o:6][c:21]1[H:22].[c:10]1([H:15])[c:11]([H:16])[c:12]([H:17])[c:13]([H:18])[c:14]([H:19])[c:20]1>>[F:1][C:2]([F:3])([F:4])[c:5]1[n:8][c:7]([H:9])[o:6][c:21]1-[c:20]1[c:10]([H:15])[c:11]([H:16])[c:12]([H:17])[c:13]([H:18])[c:14]1[H:19].[H:22],10.3
[C:1]([C:2]([C:3]([H:12])([H:13])[H:14])([C:4]([H:15])([H:16])[H:17])[c:5]1[c:8]([H:19])[n:7]([H:18])[n:6][c:27]1[H:28])([H:9])([H:10])[H:11].[C:20]([H:23])([H:24])([H:25])[C:26]([H:21])[H:22]>>[C:1]([C:2]([C:3]([H:12])([H:13])[H:14])([C:4]([H:15])([H:16])[H:17])[c:5]1[c:8]([H:19])[n:7]([H:18])[n:6][c:27]1[C:26]([C:20]([H:23])([H:24])[H:25])([H:21])[H:22])([H:9])([H:10])[H:11].[H:28],22.7
[C:1]([C:2]([C:3]([H:13])([H:14])[H:15])([C:4]([H:16])([H:17])[H:18])[c:5]1[c:6]([H:19])[c:7]([H:20])[c:29]([H:30])[n:8][c:9]1[H:21])([H:10])([H:11])[H:12].[C:22]([H:25])([H:26])([H:27])[C:28]([H:23])[H:24]>>[C:1]([C:2]([C:3]([H:13])([H:14])[H:15])([C:4]([H:16])([H:17])[H:18])[c:5]1[c:6]([H:19])[c:7]([H:20])[c:29]([C:28]([C:22]([H:25])([H:26])[H:27])([H:23])[H:24])[n:8][c:9]1[H:21])([H:10])([H:11])[H:12].[H:30],18.8
[F:1][C:2]([F:3])([F:4])[c:5]1[c:6]([H:10])[c:23]([H:24])[n:7][c:8]([H:11])[c:9]1[H:12].[c:13]1([H:18])[c:14]([H:19])[n:15][c:16]([H:20])[c:17]([H:21])[c:22]1>>[F:1][C:2]([F:3])([F:4])[c:5]1[c:6]([H:10])[c:23](-[c:22]2[c:13]([H:18])[c:14]([H:19])[n:15][c:16]([H:20])[c:17]2[H:21])[n:7][c:8]([H:11])[c:9]1[H:12].[H:24],14.2
[C:11]([F:12])([F:13])([F:14])[C:17]([H:15])[H:16].[F:1][C:2]([F:3])([F:4])[c:5]1[n+:6]([H:9])[c:18]([H:19])[c:7]([H:10])[s:8]1>>[F:1][C:2]([F:3])([F:4])[c:5]1[n+:6]([H:9])[c:18]([C:17]([C:11]([F:12])([F:13])[F:14])([H:15])[H:16])[c:7]([H:10])[s:8]1.[H:19],21.6
