,rxn,smiles,dE0,density
10,11,[C:1]1([H:7])([H:8])[C@@:2]2([H:9])[C:3]([H:10])([H:11])[C@:4]1([H:12])[C:5]([H:13])([H:14])[C:6]2([H:15])[H:16]>>[C:1]1([H:7])([H:8])[C:2][C:3]([H:10])([H:11])[C:4]1([C:5]([C:6]([H:9])([H:15])[H:16])([H:13])[H:14])[H:12],81.42548000000001,0.019356132678108495
11,12,[O:1]([c:2]1=[n:3][c:4]([H:8])[n:5][n:6]1[H:9])[H:7]>>[O:1]([c:2]1[n:3]([H:9])[c:4]([H:8])[n:5][n:6]1)[H:7],58.54008,0.012741581912816298
12,13,[O:1]([c:2]1=[n:3][c:4]([H:8])[n:5][n:6]1[H:9])[H:7]>>[O:1]([C:2]1=[N+:5]([N-:6][H:9])[C:4]([H:8])=[N:3]1)[H:7],110.29537,0.006768432954475309
13,14,[O:1]([c:2]1=[n:3][c:4]([H:8])[n:5][n:6]1[H:9])[H:7]>>[O:1]([C@@:2]1([H:9])[N:3]=[C:4]([H:8])[N:5]=[N:6]1)[H:7],58.54715,0.012745127121557053
14,15,[O:1]([c:2]1=[n:3][c:4]([H:8])[n:5][n:6]1[H:9])[H:7]>>[O:1]([c:2]1[n:3][c:4]([H:8])[n:5]([H:9])[n:6]1)[H:7],48.00114,0.006512376536019549
15,16,[O:1]([c:2]1=[n:3][c:4]([H:8])[n:5][n:6]1[H:9])[H:7]>>[O:1]([C:2]([N:3]=[C:4]=[N:5][H:8])=[N:6][H:9])[H:7],75.62779,0.018942677410657173
16,17,[O:1]([c:2]1=[n:3][c:4]([H:8])[n:5][n:6]1[H:9])[H:7]>>[O:1]=[c:2]1[n:3]([H:7])[c:4]([H:8])[n:5][n:6]1[H:9],43.97984,0.005062783768962366
17,18,[O:1]([c:2]1=[n:3][c:4]([H:8])[n:5][n:6]1[H:9])[H:7]>>[O:1]([C:2]1=[N:3][C@@:4]1(/[N:5]=[N:6]/[H:9])[H:8])[H:7],109.01599,0.007281983073235958
18,19,[O:1]([c:2]1=[n:3][c:4]([H:8])[n:5][n:6]1[H:9])[H:7]>>[O:1]([C:2]([N+:3]#[C:4][H:8])[N:6]([N-:5])[H:9])[H:7],121.78099,0.0033942421029014296
19,20,[O:1]([c:2]1=[n:3][c:4]([H:8])[n:5][n:6]1[H:9])[H:7]>>[C:4](#[N+:5][N-:6][H:9])[H:8].[O:1]([C:2]#[N:3])[H:7],93.51989,0.012384860350094751
20,22,[O:1]([c:2]1=[n:3][c:4]([H:8])[n:5][n:6]1[H:9])[H:7]>>[O:1](/[C:2]([N:3]1[C:4]([H:8])=[N:5]1)=[N:6]\[H:9])[H:7],85.91394,0.016935704761637204
21,23,[O:1]([C:2]1([H:8])[C:3]([H:9])([H:10])[C:4]([H:11])([H:12])[C:5]([H:13])([H:14])[C:6]1([H:15])[H:16])[H:7]>>[C:2]1([H:8])=[C:6]([H:16])[C:5]([H:13])([H:14])[C:4]([H:11])([H:12])[C:3]1([H:9])[H:10].[O:1]([H:7])[H:15],63.20476,0.015251557108466915
22,24,[O:1]([C:2]1([H:8])[C:3]([H:9])([H:10])[C:4]([H:11])([H:12])[C:5]([H:13])([H:14])[C:6]1([H:15])[H:16])[H:7]>>[C:5](=[C:6]([H:15])[H:16])([H:13])[H:14].[O:1]([C:2]([C:3](=[C:4]([H:11])[H:12])[H:10])([H:8])[H:9])[H:7],107.75396,0.007750706692123284
23,25,[O:1]([C:2]1([H:8])[C:3]([H:9])([H:10])[C:4]([H:11])([H:12])[C:5]([H:13])([H:14])[C:6]1([H:15])[H:16])[H:7]>>[H:7][H:12].[O:1]=[C:2]([C:6]([C:5]([C:4](=[C:3]([H:9])[H:10])[H:11])([H:13])[H:14])([H:15])[H:16])[H:8],88.47536,0.015493506556082476
24,26,[O:1]([C:2]1([H:8])[C:3]([H:9])([H:10])[C:4]([H:11])([H:12])[C:5]([H:13])([H:14])[C:6]1([H:15])[H:16])[H:7]>>[C:4](=[C:5]([H:13])[H:14])([H:11])[H:12].[O:1]([C:2](=[C:3]([H:9])[H:10])[C:6]([H:8])([H:15])[H:16])[H:7],106.66318,0.008097805147779845
25,27,[O:1]([C:2]1([H:8])[C:3]([H:9])([H:10])[C:4]([H:11])([H:12])[C:5]([H:13])([H:14])[C:6]1([H:15])[H:16])[H:7]>>[C@:2]12([H:8])[C:3]([H:9])([H:10])[C@@:4]1([H:11])[C:5]([H:13])([H:14])[C:6]2([H:15])[H:16].[O:1]([H:7])[H:12],96.254,0.010775571992382355
26,28,[O:1]([C:2]1([H:8])[C:3]([H:9])([H:10])[C:4]([H:11])([H:12])[C:5]([H:13])([H:14])[C:6]1([H:15])[H:16])[H:7]>>[C:3](=[C:4]([H:11])[H:12])([H:9])[H:10].[O:1](/[C:2](=[C:6](\[C:5]([H:13])([H:14])[H:15])[H:16])[H:8])[H:7],108.59933,0.007442927639913294
27,29,[O:1]([C:2]1([H:8])[C:3]([H:9])([H:10])[C:4]([H:11])([H:12])[C:5]([H:13])([H:14])[C:6]1([H:15])[H:16])[H:7]>>[H:10][H:14].[O:1]([C@:2]1([H:8])[C:3]([H:9])=[C:4]([H:11])[C:5]([H:12])([H:13])[C:6]1([H:15])[H:16])[H:7],106.1555,0.008237118568931358
28,30,[O:1]([C:2]1([H:8])[C:3]([H:9])([H:10])[C:4]([H:11])([H:12])[C:5]([H:13])([H:14])[C:6]1([H:15])[H:16])[H:7]>>[O:1]([C:2]1([C:6]([C:5]([H:8])([H:13])[H:14])([H:15])[H:16])[C:3]([H:9])([H:10])[C:4]1([H:11])[H:12])[H:7],116.28447,0.004742334768512326
29,31,[O:1]([C:2]1([H:8])[C:3]([H:9])([H:10])[C:4]([H:11])([H:12])[C:5]([H:13])([H:14])[C:6]1([H:15])[H:16])[H:7]>>[H:8][H:15].[O:1]([C:2]1=[C:6]([H:16])[C:5]([H:13])([H:14])[C:4]([H:11])([H:12])[C:3]1([H:9])[H:10])[H:7],119.7306,0.0038807848786666763
30,32,[O:1]([C:2]1([H:8])[C:3]([H:9])([H:10])[C:4]([H:11])([H:12])[C:5]([H:13])([H:14])[C:6]1([H:15])[H:16])[H:7]>>[O:1]=[C:2]([C:6]([C:5]([C:4]([C:3]([H:7])([H:9])[H:10])([H:11])[H:12])([H:13])[H:14])([H:15])[H:16])[H:8],79.0211,0.019806768484833665
31,33,[O:1]([C:2]1([H:8])[C:3]([H:9])([H:10])[C:4]([H:11])([H:12])[C:5]([H:13])([H:14])[C:6]1([H:15])[H:16])[H:7]>>[H:7][H:9].[O:1]=[C:2]([C:3]1([H:10])[C:4]([H:11])([H:12])[C:5]([H:13])([H:14])[C:6]1([H:15])[H:16])[H:8],103.78744,0.008716631730474319
32,34,[O:1]([C:2]1([H:8])[C:3]([H:9])([H:10])[C:4]([H:11])([H:12])[C:5]([H:13])([H:14])[C:6]1([H:15])[H:16])[H:7]>>[H:11][H:13].[O:1]([C:2]1([H:8])[C:3]([H:9])([H:10])[C:4]([H:12])=[C:5]([H:14])[C:6]1([H:15])[H:16])[H:7],115.98983,0.004821582195756604
33,35,[O:1]([C:2]1([H:8])[C:3]([H:9])([H:10])[C:4]([H:11])([H:12])[C:5]([H:13])([H:14])[C:6]1([H:15])[H:16])[H:7]>>[O:1]([C:6]([C:5]([C:4]([C:3]([C:2][H:8])([H:9])[H:10])([H:11])[H:12])([H:13])[H:14])([H:15])[H:16])[H:7],115.71548,0.004896683597230769
34,36,[O:1]([C:2]1([H:8])[C:3]([H:9])([H:10])[C:4]([H:11])([H:12])[C:5]([H:13])([H:14])[C:6]1([H:15])[H:16])[H:7]>>[O:1]([C@:2]1([H:8])[C:3]([H:9])([H:10])[C@@:4]1([C:5]([C:6]([H:12])([H:15])[H:16])([H:13])[H:14])[H:11])[H:7],119.42386,0.003954691560491648
36,38,[O:1]([C:2]1([H:8])[C:3]([H:9])([H:10])[C:4]([H:11])([H:12])[C:5]([H:13])([H:14])[C:6]1([H:15])[H:16])[H:7]>>[O:1]([C:4]([C:5]([C:6]([C:2](=[C:3]([H:9])[H:10])[H:8])([H:15])[H:16])([H:13])[H:14])([H:11])[H:12])[H:7],102.18914,0.008957176441033866
37,39,[C:1](/[N:2]=[C:3](/[N:4]([C:5](=[O:6])[H:12])[H:11])[H:10])([H:7])([H:8])[H:9]>>[C:1]([O:6]/[C:5](=[N:4]\[H:11])[H:12])([H:7])([H:8])[H:9].[N:2]#[C:3][H:10],107.32878999999998,0.00789342800385738
38,40,[C:1](/[N:2]=[C:3](/[N:4]([C:5](=[O:6])[H:12])[H:11])[H:10])([H:7])([H:8])[H:9]>>[C:1](/[N:2]=[C:3](/[N+:4](=[C-:5][O:6][H:12])[H:11])[H:10])([H:7])([H:8])[H:9],72.22379000000001,0.01792016999488443
39,41,[C:1](/[N:2]=[C:3](/[N:4]([C:5](=[O:6])[H:12])[H:11])[H:10])([H:7])([H:8])[H:9]>>[C:1]([N+:2](=[C-:3][N:4]([C:5](=[O:6])[H:12])[H:11])[H:10])([H:7])([H:8])[H:9],70.69436,0.017738920484056415
40,42,[C:1](/[N:2]=[C:3](/[N:4]([C:5](=[O:6])[H:12])[H:11])[H:10])([H:7])([H:8])[H:9]>>[C:1](/[N:2]=[C:3](\[O:6]/[C:5](=[N:4]/[H:11])[H:12])[H:10])([H:7])([H:8])[H:9],50.38201,0.007677414882600145
41,43,[C:1](/[N:2]=[C:3](/[N:4]([C:5](=[O:6])[H:12])[H:11])[H:10])([H:7])([H:8])[H:9]>>[C-:5]#[O+:6].[C:1]([N:2](/[C:3](=[N:4]/[H:11])[H:10])[H:12])([H:7])([H:8])[H:9],43.51054,0.004873199685543571
42,44,[C:1](/[N:2]=[C:3](/[N:4]([C:5](=[O:6])[H:12])[H:11])[H:10])([H:7])([H:8])[H:9]>>[C:1]([N:4]([C:5](=[O:6])[H:12])[H:11])([H:7])([H:8])[H:9].[N:2]#[C:3][H:10],98.04276,0.009972146183225524
43,45,[C:1](/[N:2]=[C:3](/[N:4]([C:5](=[O:6])[H:12])[H:11])[H:10])([H:7])([H:8])[H:9]>>[C:1]([N:2]1[C@:3]2([H:10])[N:4]([H:11])[C@:5]2([H:12])[O:6]1)([H:7])([H:8])[H:9],116.69467,0.004634160333274342
44,46,[C:1](/[N:2]=[C:3](/[N:4]([C:5](=[O:6])[H:12])[H:11])[H:10])([H:7])([H:8])[H:9]>>[C-:1]([N+:2](=[C:3]([N:4]([C:5](=[O:6])[H:12])[H:11])[H:10])[H:7])([H:8])[H:9],78.03220999999999,0.01969517849649953
45,47,[C:1](/[N:2]=[C:3](/[N:4]([C:5](=[O:6])[H:12])[H:11])[H:10])([H:7])([H:8])[H:9]>>[C:1](=[N:2][C:3]([N:4]([C:5](=[O:6])[H:12])[H:11])([H:7])[H:10])([H:8])[H:9],80.22594000000001,0.019708414397554854
46,48,[C:1](/[N:2]=[C:3](/[N:4]([C:5](=[O:6])[H:12])[H:11])[H:10])([H:7])([H:8])[H:9]>>[C:1]([N:2](/[C:3](=[N:4]/[C:5](=[O:6])[H:12])[H:10])[H:11])([H:7])([H:8])[H:9],44.29001,0.0051824683207014
47,49,[C:1](/[N:2]=[C:3](/[N:4]([C:5](=[O:6])[H:12])[H:11])[H:10])([H:7])([H:8])[H:9]>>[C:1](/[N:2]=[C:3](/[N:4]=[C:5](/[O:6][H:11])[H:12])[H:10])([H:7])([H:8])[H:9],45.244890000000005,0.0055276074175987355
48,50,[C:1](/[N:2]=[C:3](/[N:4]([C:5](=[O:6])[H:12])[H:11])[H:10])([H:7])([H:8])[H:9]>>[C:1](=[N:2][C@:3]1([H:10])[N:4]([H:11])[C@@:5]1([O:6][H:7])[H:12])([H:8])[H:9],86.12677,0.016814498122708087
49,51,[C:1]([O:2][C:3]([C:4]([C:5]#[N:6])([H:12])[H:13])([H:10])[H:11])([H:7])([H:8])[H:9]>>[C:1]([O:2][C:3]([N:6]=[C:5]=[C:4]([H:12])[H:13])([H:10])[H:11])([H:7])([H:8])[H:9],75.54618,0.018911899995767943
50,52,[C:1]([O:2][C:3]([C:4]([C:5]#[N:6])([H:12])[H:13])([H:10])[H:11])([H:7])([H:8])[H:9]>>[C:1]([O:2][H:12])([H:7])([H:8])[H:9].[C:3](=[C:4]([C:5]#[N:6])[H:13])([H:10])[H:11],58.85652,0.012899278590098423
51,53,[C:1]([O:2][C:3]([C:4]([C:5]#[N:6])([H:12])[H:13])([H:10])[H:11])([H:7])([H:8])[H:9]>>[C:1]([O:2][C:3]([C:4]([N+:6]#[C-:5])([H:12])[H:13])([H:10])[H:11])([H:7])([H:8])[H:9],59.73369,0.013331918858806635
52,54,[C:1]([O:2][C:3]([C:4]([C:5]#[N:6])([H:12])[H:13])([H:10])[H:11])([H:7])([H:8])[H:9]>>[C:1]([N:6]=[C:5]=[C:4]([H:12])[H:13])([H:7])([H:8])[H:9].[O:2]=[C:3]([H:10])[H:11],91.18199,0.013881855453662795
53,55,[C:1]([O:2][C:3]([C:4]([C:5]#[N:6])([H:12])[H:13])([H:10])[H:11])([H:7])([H:8])[H:9]>>[C:1]([O:2][C:3](=[C:4]([H:12])[H:13])[H:11])([H:7])([H:8])[H:9].[C:5](#[N:6])[H:10],84.3233,0.017856221498586886
54,56,[C:1]([O:2][C:3]([C:4](=[O:5])[H:11])([H:9])[H:10])([H:6])([H:7])[H:8]>>[C:1]([O:2][C@@:3]1([H:10])[C:4]([H:9])([H:11])[O:5]1)([H:6])([H:7])[H:8],66.42035,0.017003932740351942
55,57,[C:1]([O:2][C:3]([C:4](=[O:5])[H:11])([H:9])[H:10])([H:6])([H:7])[H:8]>>[C:1](=[O+:2][C:3](=[C:4]([O-:5])[H:11])[H:10])([H:6])[H:8].[H:7][H:9],74.59470999999999,0.01856062776679401
56,58,[C:1]([O:2][C:3]([C:4](=[O:5])[H:11])([H:9])[H:10])([H:6])([H:7])[H:8]>>[C:1]([O:2][C:3]([O+:5]=[C-:4][H:11])([H:9])[H:10])([H:6])([H:7])[H:8],100.69992,0.00921537155890526
57,59,[C:1]([O:2][C:3]([C:4](=[O:5])[H:11])([H:9])[H:10])([H:6])([H:7])[H:8]>>[C:1]([O:2][O:5][C:4](=[C:3]([H:9])[H:10])[H:11])([H:6])([H:7])[H:8],87.96627,0.015780795220700077
58,60,[C:1]([O:2][C:3]([C:4](=[O:5])[H:11])([H:9])[H:10])([H:6])([H:7])[H:8]>>[C:1](=[O:2])([H:6])[H:8].[C:3](=[C:4]([O:5][H:7])[H:11])([H:9])[H:10],56.80752,0.011819641225966765
59,61,[C:1]([O:2][C:3]([C:4](=[O:5])[H:11])([H:9])[H:10])([H:6])([H:7])[H:8]>>[C+:1]([C@:4]([C:3]([O:2][H:7])([H:9])[H:10])([O-:5])[H:11])([H:6])[H:8],86.59683000000001,0.01654861625166272
60,62,[C:1]([C:2]([C:3]([H:11])([H:12])[H:13])([C:4]([C:5]#[N:6])([H:14])[H:15])[H:10])([H:7])([H:8])[H:9]>>[C:1]([C:2]([C:3]([H:11])([H:12])[H:13])([C:4]([N+:6]#[C-:5])([H:14])[H:15])[H:10])([H:7])([H:8])[H:9],59.30894,0.013122512780560598
61,63,[C:1]([C:2]([C:3]([H:11])([H:12])[H:13])([C:4]([C:5]#[N:6])([H:14])[H:15])[H:10])([H:7])([H:8])[H:9]>>[C:1](=[C:2]([C:3]([H:11])([H:12])[H:13])[H:10])([H:7])[H:8].[C:4]1([H:14])([H:15])[C:5]([H:9])=[N:6]1,99.96469,0.009378301068074605
63,65,[C:1]([C:2]([C:3]([H:11])([H:12])[H:13])([C:4]([C:5]#[N:6])([H:14])[H:15])[H:10])([H:7])([H:8])[H:9]>>[C:1]([C:2]([C:3]([N:6]=[C:5]=[C:4]([H:14])[H:15])([H:11])[H:13])([H:10])[H:12])([H:7])([H:8])[H:9],99.14967,0.00959773078794136
64,66,[C:1]([C:2]([C:3]([H:11])([H:12])[H:13])([C:4]([C:5]#[N:6])([H:14])[H:15])[H:10])([H:7])([H:8])[H:9]>>[C:1]([C:2]([C:3]([H:11])([H:12])[H:13])([C:4](=[C:5]=[N:6][H:15])[H:14])[H:10])([H:7])([H:8])[H:9],91.99066,0.013368624006233485
65,67,[C:1]([C:2]([C:3]([H:11])([H:12])[H:13])([C:4]([C:5]#[N:6])([H:14])[H:15])[H:10])([H:7])([H:8])[H:9]>>[C:1]([C:2](=[C:3]([H:11])[H:12])[H:10])([H:7])([H:8])[H:9].[C:4](=[C:5]=[N:6][H:13])([H:14])[H:15],68.38353000000001,0.0175307035131987
66,68,[C:1]([C:2]([C:3]([H:11])([H:12])[H:13])([C:4]([C:5]#[N:6])([H:14])[H:15])[H:10])([H:7])([H:8])[H:9]>>[C:1]([C:2]1([H:10])[C:3]([H:11])([H:12])/[C:5](=[N:6]/[H:13])[C:4]1([H:14])[H:15])([H:7])([H:8])[H:9],101.62226,0.00904713672497585
67,69,[C:1]([C:2]([C:3]([H:11])([H:12])[H:13])([C:4]([C:5]#[N:6])([H:14])[H:15])[H:10])([H:7])([H:8])[H:9]>>[C:1]([C@@:2]1([H:10])[C:3]([H:11])([H:12])[N:6]([H:13])[C:5][C:4]1([H:14])[H:15])([H:7])([H:8])[H:9],91.6563,0.013582161955838465
68,70,[C:1]([C:2]([C:3]([H:11])([H:12])[H:13])([C:4]([C:5]#[N:6])([H:14])[H:15])[H:10])([H:7])([H:8])[H:9]>>[C:1]([C:2]([C:3]([H:11])([H:12])[H:13])=[C:4]([C:5]#[N:6])[H:14])([H:7])([H:8])[H:9].[H:10][H:15],100.00654,0.009368197180317468
69,71,[C:1]([C:2]([C:3]([C:4](=[O:5])[H:13])([H:11])[H:12])([H:9])[H:10])([H:6])([H:7])[H:8]>>[C:1]([C:2]([C:3]([O+:5]=[C-:4][H:13])([H:11])[H:12])([H:9])[H:10])([H:6])([H:7])[H:8],113.08191,0.005706244468492639
70,72,[C:1]([C:2]([C:3]([C:4](=[O:5])[H:13])([H:11])[H:12])([H:9])[H:10])([H:6])([H:7])[H:8]>>[C:1]([C:2](=[C:3]([H:11])[H:12])[H:10])([H:6])([H:7])[H:8].[C:4](=[O:5])([H:9])[H:13],75.45451,0.01887732903348704
71,73,[C:1]([C:2]([C:3]([C:4](=[O:5])[H:13])([H:11])[H:12])([H:9])[H:10])([H:6])([H:7])[H:8]>>[C:1](=[C:2]([H:9])[H:10])([H:6])[H:8].[C:3](=[C:4]([O:5][H:7])[H:13])([H:11])[H:12],58.89712,0.012919389767653383
72,74,[C:1]([C:2]([C:3]([C:4](=[O:5])[H:13])([H:11])[H:12])([H:9])[H:10])([H:6])([H:7])[H:8]>>[C:1]([H:6])([H:7])([H:8])[H:11].[C:2](=[C:3]([C:4](=[O:5])[H:13])[H:12])([H:9])[H:10],95.23448,0.011333777289946095
73,75,[C:1]([C:2]([C:3]([C:4](=[O:5])[H:13])([H:11])[H:12])([H:9])[H:10])([H:6])([H:7])[H:8]>>[C-:4]#[O+:5].[C:1]([C:2]([C:3]([H:11])([H:12])[H:13])([H:9])[H:10])([H:6])([H:7])[H:8],83.59612,0.018275600109408853
74,76,[C:1]([C:2]([C:3]([C:4](=[O:5])[H:13])([H:11])[H:12])([H:9])[H:10])([H:6])([H:7])[H:8]>>[C:1]([C:2]([O:5][C:4](=[C:3]([H:11])[H:12])[H:13])([H:9])[H:10])([H:6])([H:7])[H:8],89.5795,0.01485638254333854
75,77,[C:1]([C:2]([C:3]([C:4](=[O:5])[H:13])([H:11])[H:12])([H:9])[H:10])([H:6])([H:7])[H:8]>>[C:1]([C:2](/[C:3](=[C:4](\[O:5][H:11])[H:13])[H:12])([H:9])[H:10])([H:6])([H:7])[H:8],71.02608000000001,0.017766771413911708
76,78,[C:1]([C:2]([C:3]([C:4](=[O:5])[H:13])([H:11])[H:12])([H:9])[H:10])([H:6])([H:7])[H:8]>>[C:1]([C@@:2]1([H:10])[C:3]([H:11])([H:12])[C@:4]1([O:5][H:9])[H:13])([H:6])([H:7])[H:8],79.21441999999999,0.019808961597961777
77,79,[N:1]([c:2]1[c:3]([H:9])[n:4]([H:10])[c:5]([H:11])[n:6]1)([H:7])[H:8]>>[N:1]([C:2]1=[N:6][C:5]([H:11])=[N:4][C:3]1([H:9])[H:10])([H:7])[H:8],44.07153,0.005098613636263534
78,80,[N:1]([c:2]1[c:3]([H:9])[n:4]([H:10])[c:5]([H:11])[n:6]1)([H:7])[H:8]>>[N:1]([C:2]1=[N:6][C@:3]1(/[C:5](=[N:4]/[H:10])[H:11])[H:9])([H:7])[H:8],103.42911,0.008772121721337478
79,81,[N:1]([c:2]1[c:3]([H:9])[n:4]([H:10])[c:5]([H:11])[n:6]1)([H:7])[H:8]>>[N:1](=[C:2]1/[C:3]([H:8])([H:9])[N:4]([H:10])[C:5]([H:11])=[N:6]1)\[H:7],74.2526,0.01844268524942576
80,82,[N:1]([c:2]1[c:3]([H:9])[n:4]([H:10])[c:5]([H:11])[n:6]1)([H:7])[H:8]>>[N:1]([C@@:2]1(/[C:3](=[N:4]/[H:10])[H:9])[C:5]([H:11])=[N:6]1)([H:7])[H:8],98.794,0.009707997779899958
81,83,[N:1]([c:2]1[c:3]([H:9])[n:4]([H:10])[c:5]([H:11])[n:6]1)([H:7])[H:8]>>[C:5](#[N:6])[H:11].[N:1]([C:2]/[C:3](=[N:4]/[H:10])[H:9])([H:7])[H:8],84.32625,0.017854505412671074
82,84,[N:1]([c:2]1[c:3]([H:9])[n:4]([H:10])[c:5]([H:11])[n:6]1)([H:7])[H:8]>>[N:1]([C:2]1=[C:3]([H:9])[N:4]([H:10])[C:5][N:6]1[H:11])([H:7])[H:8],68.62703,0.017565216727836862
83,85,[N:1]([c:2]1[c:3]([H:9])[n:4]([H:10])[c:5]([H:11])[n:6]1)([H:7])[H:8]>>[N+:1]([c:2]1[c-:3][n:4]([H:10])[c:5]([H:11])[n:6]1)([H:7])([H:8])[H:9],74.94034,0.01868538207115968
84,86,[N:1]([c:2]1[c:3]([H:9])[n:4]([H:10])[c:5]([H:11])[n:6]1)([H:7])[H:8]>>[N:1](=[C:2]1[C-:3]([H:9])[N+:4]([H:8])([H:10])[C:5]([H:11])=[N:6]1)[H:7],116.19069,0.004767408775549163
85,87,[N:1]([c:2]1[c:3]([H:9])[n:4]([H:10])[c:5]([H:11])[n:6]1)([H:7])[H:8]>>[N:1]([C:2]1=[N:6][C:5]([H:10])([H:11])[N:4]=[C:3]1[H:9])([H:7])[H:8],42.75096,0.004544167233859644
87,89,[N:1]([c:2]1[c:3]([H:9])[n:4]([H:10])[c:5]([H:11])[n:6]1)([H:7])[H:8]>>[N:1]([C:2]#[N+:6][C-:5]([N+:4](=[C-:3][H:9])[H:10])[H:11])([H:7])[H:8],98.11207,0.009945957204264048
88,90,[N:1]([c:2]1[c:3]([H:9])[n:4]([H:10])[c:5]([H:11])[n:6]1)([H:7])[H:8]>>[N:1]([C@:2]1([H:9])[C-:3]=[N+:4]([H:10])[C:5]([H:11])=[N:6]1)([H:7])[H:8],61.58283,0.014294619898372976
89,91,[N:1]([c:2]1[c:3]([H:9])[n:4]([H:10])[c:5]([H:11])[n:6]1)([H:7])[H:8]>>[N:1]([C:2](/[C:3](=[N:4]/[H:10])[H:9])=[N+:6]=[C-:5][H:11])([H:7])[H:8],67.14405,0.017255310522939046
90,92,[C:1]1([H:7])([H:8])[C@:2]2([H:9])[C@:3]3([H:10])[C:4]([H:11])([H:12])[C@@:5]1([H:13])[N:6]23>>[C:1]1([H:7])([H:8])[C@@:2]2([H:9])[C@@:3]3([H:10])[C@@:4]([H:12])([C:5]1([H:11])[H:13])[N:6]23,67.43646,0.017337151385722276
91,93,[C:1]1([H:7])([H:8])[C@:2]2([H:9])[C@:3]3([H:10])[C:4]([H:11])([H:12])[C@@:5]1([H:13])[N:6]23>>[C:1]([C@@:2]1([H:9])[C@@:3]2([H:10])[C:4]([H:11])([H:12])[C:5]([H:8])([H:13])[N:6]12)[H:7],87.78411,0.015883029795968638
92,94,[C:1]1([H:7])([H:8])[C@:2]2([H:9])[C@:3]3([H:10])[C:4]([H:11])([H:12])[C@@:5]1([H:13])[N:6]23>>[C:1]1([H:7])([H:8])[C@@:2]2([H:9])[C@@:3]([H:10])([C:4]([H:11])([H:12])[C:5]1)[N:6]2[H:13],64.7911,0.016205556303323227
93,95,[C:1]1([H:7])([H:8])[C@:2]2([H:9])[C@:3]3([H:10])[C:4]([H:11])([H:12])[C@@:5]1([H:13])[N:6]23>>[C:1]1([H:7])([H:8])[C@:2]([C:3](=[C:4]([H:11])[H:12])[H:10])([H:9])[N:6]=[C:5]1[H:13],48.94916,0.006927495260387304
